Beijing airport,Sinopec corp ,Jiangsu express ,Bank of China,China shenhua,Cosco ship holding,Zheijang shibao,Longyuan china ,citic sec,Tencent
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-255.4200000000128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,766.2599999999948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,510.8399999999965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1021.679999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1787.9399999999878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,255.4199999999837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2171.0699999999924,0.0,0.0,353.95999999999185,0.0,2595.3899999999994,0.0,0.0
0.0,0.0,4086.720000000001,0.0,0.0,3008.659999999989,0.0,3969.4199999999983,0.0,0.0
0.0,0.0,2171.0699999999924,0.0,0.0,1946.7799999999843,0.0,2748.060000000012,0.0,0.0
0.0,0.0,2298.7799999999843,0.0,0.0,3539.5999999999767,0.0,3206.070000000007,0.0,0.0
0.0,0.0,3575.87999999999,0.0,0.0,5663.359999999986,0.0,3511.410000000018,0.0,0.0
0.0,0.0,3703.589999999982,0.0,0.0,7964.099999999977,0.0,2900.7300000000105,0.0,0.0
0.0,0.0,5363.819999999992,0.0,0.0,10441.819999999992,0.0,2748.060000000012,0.0,0.0
0.0,0.0,3959.0099999999948,0.0,0.0,10618.799999999988,0.0,2748.060000000012,0.0,0.0
0.0,0.0,5108.399999999994,0.0,0.0,10972.75999999998,0.0,6259.470000000001,0.0,0.0
0.0,0.0,5746.9499999999825,0.0,0.0,8495.039999999994,0.0,4580.100000000006,0.0,0.0
0.0,0.0,6768.62999999999,0.0,0.0,5663.359999999986,0.0,3358.7400000000052,0.0,0.0
