241002;000000;35.3;35.8;34;35.35;19191500
241003;000000;34.9;35.6;34.45;35.4;10180500
241004;000000;35.4;37.35;35.05;36.5;14492000
241007;000000;36.9;37.3;36.2;37;14760500
241008;000000;36.7;37.15;32.8;33.75;54870500
241009;000000;33.85;34.1;32.4;32.95;32994500
241010;000000;33;35.1;33;34.85;40569000
241014;000000;34.85;35.9;34.3;34.8;21425000
241015;000000;35;35.45;34.4;34.7;31694500
241016;000000;34.6;35.4;34.1;34.75;27315500
241017;000000;35.15;35.75;34;34.15;14589500
241018;000000;34.2;35.2;34.2;35;12730500
241021;000000;34.9;35.5;34;34.15;16722500
241022;000000;34.15;34.75;34.15;34.45;10691500
241023;000000;34.4;34.75;33.5;33.75;22164500
241024;000000;33.5;34.1;33.25;34;15506500
241025;000000;34;34.3;33.45;33.6;9769500
241028;000000;34.1;34.85;33.9;34.1;20667000
241029;000000;34.1;34.5;33.6;33.9;19343500
241030;000000;33.9;33.95;32.9;33.15;18062500
241031;000000;32.9;33.95;32.9;33.65;16938000
241101;000000;34;34.6;33.7;34.3;11130000
241104;000000;34.5;34.6;33.75;33.85;13488500
241105;000000;33.75;34.45;33.75;34.3;13336000
241106;000000;34.3;34.5;33.6;33.7;19733500
241107;000000;33.7;34.7;33.5;34.5;23419500
241108;000000;34.6;35;33.5;33.5;29980000
241111;000000;33.2;33.5;32.65;32.8;31871000
241112;000000;32.8;32.9;31.85;32.35;21771500
241113;000000;32.35;32.6;31.95;32.1;9958500
241114;000000;31.9;32.4;31.6;31.65;12630500
241115;000000;31.8;33.8;31.7;33.25;36552000
241118;000000;33.65;34.1;33.25;33.55;12661500
241119;000000;34;34.1;32.95;33.1;9108000
241120;000000;33;33.5;32.95;33.3;5932000
241121;000000;33.25;33.6;32.95;33.05;9468500
241122;000000;33.05;33.4;32.25;32.4;11498000
241125;000000;32.7;33;32.4;32.55;20880500
241126;000000;32.25;32.9;32.15;32.25;8183500
241127;000000;32.25;32.7;32.15;32.5;11434500
241128;000000;32.4;32.5;31.65;31.8;11522500
241129;000000;31.8;32.35;31.8;32.2;11397500
241202;000000;32.25;32.25;31.45;32.05;18828000
241203;000000;32.05;33.1;31.65;32.7;16715000
241204;000000;32.6;34.25;32.45;34.05;34019500
241205;000000;34;34.2;33.5;33.7;12806000
241206;000000;33.9;34.25;33.75;33.9;22478000
241209;000000;33.8;34.6;33.55;34.6;25707500
241210;000000;35.15;35.15;34.1;34.75;20898000
241211;000000;34.95;35.8;34.9;35.1;13438500
241212;000000;35.15;35.25;34.5;34.7;23633000
241213;000000;34.7;34.85;34.2;34.5;13420500
241216;000000;34.25;35.15;33.85;34;23516500
241217;000000;34;34.2;33.55;33.85;22618500
241218;000000;33.85;34.1;33.3;33.35;24033000
241219;000000;33.1;33.55;32.9;33.2;20058500
241220;000000;33.2;33.2;31.85;32.05;29862000
